depth,station,insitu,gldas,"error(days, gldas-insitu)",network,signature_type
5.08,44,735396.537023973,735407.856386466,11.319362492999062,SCAN,Start of drying
5.08,44,735764.184998489,735704.999999764,-59.18499872495886,SCAN,Start of drying
5.08,44,736051.783755644,736127.126270422,75.34251477802172,SCAN,Start of drying
5.08,46,,,,SCAN,Start of drying
5.08,49,730563.22152572,730561.796390613,-1.4251351070124656,SCAN,Start of drying
5.08,49,730960.966927314,730889.898830234,-71.06809707998764,SCAN,Start of drying
5.08,49,731274.384315672,731294.3848672,20.000551528064534,SCAN,Start of drying
5.08,49,731655.350252905,731689.430083077,34.07983017200604,SCAN,Start of drying
5.08,49,732007.183883285,731990.999999784,-16.18388350098394,SCAN,Start of drying
5.08,49,732403.164240252,732428.980969471,25.816729219048284,SCAN,Start of drying
5.08,49,732769.300086581,732752.570659135,-16.72942744602915,SCAN,Start of drying
5.08,50,,733197.783777381,,SCAN,Start of drying
5.08,50,733502.349833602,733441.502065903,-60.84776769892778,SCAN,Start of drying
5.08,50,733872.550358275,733816.011105461,-56.53925281390548,SCAN,Start of drying
5.08,50,734200.225533639,734181.638381443,-18.58715219597798,SCAN,Start of drying
5.08,50,734605.450175701,734577.329080781,-28.121094919973984,SCAN,Start of drying
5.08,50,734968.823714729,734950.687355969,-18.136358760064468,SCAN,Start of drying
5.08,50,735315.467786466,735264.999999998,-50.46778646798339,SCAN,Start of drying
5.08,50,735685.99995321,735654.251665271,-31.748287939000875,SCAN,Start of drying
5.08,50,736061.000008153,735998.006682238,-62.99332591507118,SCAN,Start of drying
5.08,50,736401.416128982,736361.487675107,-39.92845387500711,SCAN,Start of drying
5.08,50,736797.758977213,736742.69175992,-55.067217292962596,SCAN,Start of drying
5.08,50,737171.631826829,737117.242823552,-54.38900327705778,SCAN,Start of drying
5.08,53,733482.410908308,,,SCAN,Start of drying
5.08,53,733827.155268479,733793.938766609,-33.21650187007617,SCAN,Start of drying
5.08,53,734204.34864661,734192.000020232,-12.348626377992332,SCAN,Start of drying
5.08,53,734597.949969,734580.361113646,-17.58885535399895,SCAN,Start of drying
5.08,53,734974.860997966,734950.81242395,-24.048574016080238,SCAN,Start of drying
5.08,54,,735494.99964966,,SCAN,Start of drying
5.08,54,735682.822629656,735660.00016093,-22.822468725964427,SCAN,Start of drying
5.08,54,736032.999999944,735998.548080454,-34.45191949000582,SCAN,Start of drying
5.08,54,736469.999998156,736473.746536524,3.7465383680537343,SCAN,Start of drying
5.08,54,736754.281206343,736755.174364662,0.8931583190569654,SCAN,Start of drying
5.08,54,737167.716771114,737142.001535596,-25.715235518058762,SCAN,Start of drying
5.08,55,,,,SCAN,Start of drying
5.08,55,733092.873280559,733079.853059471,-13.020221087965183,SCAN,Start of drying
5.08,55,733476.273592831,733439.999999892,-36.27359293901827,SCAN,Start of drying
5.08,55,,,,SCAN,Start of drying
5.08,55,734283.999680845,734165.52390443,-118.475776414969,SCAN,Start of drying
5.08,55,734580.999999759,734579.674521653,-1.325478106038645,SCAN,Start of drying
5.08,55,734972.904119487,734973.461841896,0.5577224089065567,SCAN,Start of drying
5.08,55,735293.999999793,735260.999999972,-32.99999982106965,SCAN,Start of drying
5.08,55,735665.931118426,735697.721725438,31.790607011993416,SCAN,Start of drying
5.08,55,736118.999999917,736059.223194077,-59.77680583996698,SCAN,Start of drying
5.08,55,736404.110273668,736368.024506017,-36.08576765097678,SCAN,Start of drying
5.08,55,736770.99999915,736728.999990038,-42.00000911206007,SCAN,Start of drying
5.08,55,737176.075265886,737162.548737066,-13.526528820046224,SCAN,Start of drying
5.08,57,,,,SCAN,Start of drying
5.08,57,733472.076285767,733457.365935767,-14.710350000066683,SCAN,Start of drying
5.08,57,733814.571072511,733794.001333305,-20.569739205995575,SCAN,Start of drying
5.08,57,734226.337140546,734176.241482211,-50.09565833490342,SCAN,Start of drying
